claim_id,project,statement,claim_type,proof_status,evidence_type,field,parameter_domain,finite_range,exact_or_modular,novelty_status,current_or_historical,supersedes,alias_of,status,evidence_paths,protocol_id,limitations
CORE-THM-001,Reverse Hessian — noyau canonique,"Pour n≥3, le manuscrit canonique affirme l’incomparabilité des clôtures d’orbites de D(det_n) et D(per_n), où D(f)=det Hess(f).",theorem_or_corollary,textual_proof,textual_proof_plus_exact_certificates,complexity_geometry,"C, characteristic 0 where stated",,exact,not_audited_or_requires_independent_specialist_review,current,,,AUDITED_AND_REPRODUCIBLE_PACKAGE,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,PROTO-CORE-THM-001,La nouveauté bibliographique n’est pas établie ici; l’audit ne remplace pas une revue experte.
CORE-CERT-001,Reverse Hessian — noyau canonique,"Pour n=3, les rangs catalectiques certifiés de D(det_3) et D(per_3) sont respectivement (1,9,45,165,270,270,165,45,9,1) et (1,9,45,165,414,414,165,45,9,1).",theorem_or_corollary,certificate_or_audit_evidence,textual_proof_plus_exact_certificates,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,BYTE_FOR_BYTE_REPRODUCIBLE,01_CANONICAL/reverse_hessian/core/certificates/primary_exact_catalecticants.json,PROTO-CORE-CERT-001,
CORE-LIMIT-001,Reverse Hessian — noyau canonique,"Le noyau ne revendique ni obstruction standard pour le permanent paddé, ni borne super-polynomiale, ni VP≠VNP.",important_nonclaim_or_limit,certificate_or_audit_evidence,textual_proof_plus_exact_certificates,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,EXPLICIT_IN_SOURCE,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,PROTO-CORE-LIMIT-001,
COMP-001,Hessien composé / Schur / Fitting,"Pour det_4 et z·per_3, Phi_2 survit au padding; les nombres de coordonnées non nulles sont 4032 et 540, avec 1152 et 213 générateurs distincts à scalaire près.",theorem_or_corollary,certificate_or_audit_evidence,exact_or_modular_certificates,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,FRESH_REPRODUCTION_PASS,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,PROTO-COMP-001,
COMP-002,Hessien composé / Schur / Fitting,"Les rangs catalectiques exacts d’ordres 0,1,2 sont [1,16,136] pour det_4 et [1,10,55] pour z·per_3.",theorem_or_corollary,certificate_or_audit_evidence,exact_or_modular_certificates,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,FRESH_REPRODUCTION_PASS,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,PROTO-COMP-002,
COMP-003,Hessien composé / Schur / Fitting,"Les dimensions exactes des pièces graduées de I_2 en degrés 4,5,6 sont [625,5312,27608] pour det_4 et [166,1908,12156] pour z·per_3.",theorem_or_corollary,certificate_or_audit_evidence,exact_or_modular_certificates,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,FRESH_REPRODUCTION_PASS,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,PROTO-COMP-003,
COMP-SYZ-001,Hessien composé / syzygies dérivées,"Les dimensions des premières syzygies linéaires de I_2 en degré 5, déduites exactement de la fonction de Hilbert, valent 4688 pour det_4 et 748 pour z·per_3.",theorem_or_corollary,certificate_or_audit_evidence,exact_or_modular_certificates,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,REPRODUCED_PASS,01_CANONICAL/compound_hessian_schur_fitting/report/rapport_resultats.md,PROTO-COMP-SYZ-001,Ces dimensions sont déterminées par dim([I2]_4)×16−dim([I2]_5); elles ne suffisent pas à elles seules à produire une obstruction de clôture.
COMP-SYZ-002,Hessien composé / syzygies dérivées,Les dimensions des noyaux quadratiques avant minimalisation en degré 6 valent 57392 pour det_4 et 10420 pour z·per_3.,theorem_or_corollary,certificate_or_audit_evidence,exact_or_modular_certificates,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,REPRODUCED_PASS,01_CANONICAL/compound_hessian_schur_fitting/report/rapport_resultats.md,PROTO-COMP-SYZ-002,"Ce sont des noyaux avant minimalisation, pas des nombres de Betti minimaux: les produits des syzygies linéaires n’ont pas été quotientés."
COMP-004,Hessien composé / Schur / Fitting,"Pour r=2, l’unique irréductible commun au domaine Sym^2(Sym^4 V) et à la cible composée est S_(6,2)V; pour r=3 et r=4, les intersections exactes sont S_(8,2,2)V et S_(10,2,2,2)V, chacune de multiplicité un.",theorem_or_corollary,certificate_or_audit_evidence,exact_or_modular_certificates,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,FRESH_REPRODUCTION_PASS,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,PROTO-COMP-004,"Le script historique contient un contrôle de caractères jusqu’au degré 12 inutilement lent; la reproduction maîtresse réduit seulement ce contrôle de cohérence au degré 8, sans changer les décompositions exactes de degrés 8,12,16."
COMP-005,Hessien composé / Schur / Fitting,"Les quatre flattenings de Young à deux cases donnent les rangs det/per: 136/55, 36/18, 136/55 et 120/45.",computational_result,certificate_or_audit_evidence,exact_or_modular_certificates,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,SEALED_CERTIFICATE_VALIDATED; FULL_REGENERATION_PROTOCOL_AVAILABLE,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,PROTO-COMP-005,
