result_id,title,status,proof_status,novelty_status,evidence_path,limitations
CORE-THM-001,"Pour n≥3, le manuscrit canonique affirme l’incomparabilité des clôtures d’orbites de D(det_n) et D(per_n), où D(f)=det H",AUDITED_AND_REPRODUCIBLE_PACKAGE,textual_proof,not_audited_or_requires_independent_specialist_review,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,La nouveauté bibliographique n’est pas établie ici; l’audit ne remplace pas une revue experte.
CORE-CERT-001,"Pour n=3, les rangs catalectiques certifiés de D(det_3) et D(per_3) sont respectivement (1,9,45,165,270,270,165,45,9,1) ",BYTE_FOR_BYTE_REPRODUCIBLE,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/reverse_hessian/core/certificates/primary_exact_catalecticants.json,
CORE-LIMIT-001,"Le noyau ne revendique ni obstruction standard pour le permanent paddé, ni borne super-polynomiale, ni VP≠VNP.",EXPLICIT_IN_SOURCE,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,
COMP-001,"Pour det_4 et z·per_3, Phi_2 survit au padding; les nombres de coordonnées non nulles sont 4032 et 540, avec 1152 et 213",FRESH_REPRODUCTION_PASS,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,
COMP-002,"Les rangs catalectiques exacts d’ordres 0,1,2 sont [1,16,136] pour det_4 et [1,10,55] pour z·per_3.",FRESH_REPRODUCTION_PASS,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,
COMP-003,"Les dimensions exactes des pièces graduées de I_2 en degrés 4,5,6 sont [625,5312,27608] pour det_4 et [166,1908,12156] p",FRESH_REPRODUCTION_PASS,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,
COMP-SYZ-001,"Les dimensions des premières syzygies linéaires de I_2 en degré 5, déduites exactement de la fonction de Hilbert, valent",REPRODUCED_PASS,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/compound_hessian_schur_fitting/report/rapport_resultats.md,Ces dimensions sont déterminées par dim([I2]_4)×16−dim([I2]_5); elles ne suffisent pas à elles seules à produire une obstruction de clôture.
COMP-SYZ-002,Les dimensions des noyaux quadratiques avant minimalisation en degré 6 valent 57392 pour det_4 et 10420 pour z·per_3.,REPRODUCED_PASS,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/compound_hessian_schur_fitting/report/rapport_resultats.md,"Ce sont des noyaux avant minimalisation, pas des nombres de Betti minimaux: les produits des syzygies linéaires n’ont pas été quotientés."
COMP-004,"Pour r=2, l’unique irréductible commun au domaine Sym^2(Sym^4 V) et à la cible composée est S_(6,2)V; pour r=3 et r=4, l",FRESH_REPRODUCTION_PASS,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,"Le script historique contient un contrôle de caractères jusqu’au degré 12 inutilement lent; la reproduction maîtresse réduit seulement ce contrôle de cohérence au degré 8, sans changer les décompositions exactes de degrés 8,12,16."
COMP-005,"Les quatre flattenings de Young à deux cases donnent les rangs det/per: 136/55, 36/18, 136/55 et 120/45.",SEALED_CERTIFICATE_VALIDATED; FULL_REGENERATION_PROTOCOL_AVAILABLE,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,
