occurrence_id,path,line,occurrence_kind,formal_type,title_or_excerpt,disposition,canonical_claim_id,current_or_historical,notes
OCC-040,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,70,tex_environment,theorem,Equal-size Hessian-orbit incomparability,canonical_claim_occurrence,CORE-THM-001,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-041,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,84,tex_environment,lemma,Hessian covariance,canonical_claim_occurrence,CORE-THM-001,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-042,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,98,tex_environment,lemma,Twisted and ordinary nonzero orbits,canonical_claim_occurrence,CORE-THM-001,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-043,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,116,tex_environment,proposition,Relative-covariant transfer principle,canonical_claim_occurrence,CORE-THM-001,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-044,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,130,tex_environment,theorem,Hessian determinant of the determinant,canonical_claim_occurrence,CORE-THM-001,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-045,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,167,tex_environment,theorem,Uniform permanent line formula,canonical_claim_occurrence,CORE-THM-001,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-046,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,208,tex_environment,corollary,Nonpower property,canonical_claim_occurrence,CORE-THM-001,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-047,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,218,tex_environment,lemma,Closed power cone,canonical_claim_occurrence,CORE-THM-001,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-048,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,232,tex_environment,proposition,Polystability,canonical_claim_occurrence,CORE-THM-001,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-049,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,247,tex_environment,lemma,Polystable degeneration,canonical_claim_occurrence,CORE-THM-001,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-050,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,286,tex_environment,corollary,Equal-size determinant/permanent incomparability,canonical_claim_occurrence,CORE-THM-001,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-051,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,298,tex_environment,remark,No novelty claim for \cref{cor:original},canonical_claim_occurrence,CORE-THM-001,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-052,01_CANONICAL/reverse_hessian/core/paper/a_uniform_line_formula_and_hessian_orbit_incomparability.tex,309,tex_environment,proposition,Ambient Hessian padding barrier,canonical_claim_occurrence,CORE-LIMIT-001,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-053,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,215,tex_environment,lemma,Hessian covariance,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-054,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,230,tex_environment,theorem,,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-055,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,272,tex_environment,theorem,Exact line restriction,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-056,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,306,tex_environment,corollary,,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-057,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,322,tex_environment,proposition,,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-058,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,342,tex_environment,lemma,Homogeneous GL closure lemma,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-059,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,358,tex_environment,theorem,Uniform reverse-Hessian separation,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-060,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,371,tex_environment,warning,Direction mismatch,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-061,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,417,tex_environment,lemma,Derivative gcd criterion,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-062,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,455,tex_environment,lemma,Catalecticant duality,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-063,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,471,tex_environment,theorem,Complete ordinary-catalecticant no-go,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-064,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,527,tex_environment,theorem,One-padding-variable Hessian factorisation,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-065,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,583,tex_environment,lemma,Unused-variable collapse,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-066,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,591,tex_environment,theorem,Padding-collapse barrier,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-067,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,652,tex_environment,conjecture,Canonical active-space extraction,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-068,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,661,tex_environment,conjecture,Marked transverse-Hessian multiplicity gap,non_claim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-069,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,121,status_macro,status,PROVED,status_marker_nonclaim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-070,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,122,status_macro,status,CERTIFIED-COMP,status_marker_nonclaim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-071,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,123,status_macro,status,LITERATURE,status_marker_nonclaim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-072,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,124,status_macro,status,CONJECTURAL,status_marker_nonclaim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-073,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,124,status_macro,status,FAILED,status_marker_nonclaim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-074,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,124,status_macro,status,UNKNOWN,status_marker_nonclaim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-075,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,509,status_macro,status,CERTIFIED-COMP,status_marker_nonclaim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-076,01_CANONICAL/reverse_hessian/extensions/vp_vnp/paper/reverse_hessian_VP_VNP_upgrade.tex,751,status_macro,status,UNKNOWN,status_marker_nonclaim,,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-077,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,3,markdown_h2,section,1. Cadre,canonical_claim_occurrence,ASYM-003,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-078,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,37,markdown_h2,section,2. Théorème principal,canonical_claim_occurrence,ASYM-003,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-079,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,81,markdown_h2,section,3. Côté déterminant,canonical_claim_occurrence,ASYM-003,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-080,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,135,markdown_h2,section,4. Témoin permanent uniforme,canonical_claim_occurrence,ASYM-003,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-081,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,224,markdown_h2,section,5. Fermeture et rang augmenté,canonical_claim_occurrence,ASYM-003,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-082,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,278,markdown_h2,section,6. Frontière exacte de cette méthode,canonical_claim_occurrence,ASYM-006,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-083,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,329,markdown_h2,section,7. Statut bibliographique,canonical_claim_occurrence,ASYM-003,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-084,01_CANONICAL/compound_hessian_schur_fitting/CLAIMS.md,3,markdown_h2,section,Établi théoriquement,canonical_claim_occurrence,COMP-005,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-085,01_CANONICAL/compound_hessian_schur_fitting/CLAIMS.md,9,markdown_h2,section,Certifié par calcul exact,canonical_claim_occurrence,COMP-005,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-086,01_CANONICAL/compound_hessian_schur_fitting/CLAIMS.md,16,markdown_h2,section,Certifié comme borne inférieure,canonical_claim_occurrence,COMP-005,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-087,01_CANONICAL/compound_hessian_schur_fitting/CLAIMS.md,20,markdown_h2,section,Non revendiqué,canonical_claim_occurrence,COMP-005,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-088,01_CANONICAL/compound_hessian_schur_fitting/report/rapport_resultats.md,3,markdown_h2,section,Cas étudié,canonical_claim_occurrence,COMP-005,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-089,01_CANONICAL/compound_hessian_schur_fitting/report/rapport_resultats.md,27,markdown_h2,section,Verdict,canonical_claim_occurrence,COMP-005,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-090,01_CANONICAL/compound_hessian_schur_fitting/report/rapport_resultats.md,39,markdown_h2,section,1. Hessien composé d’ordre `r=2`,canonical_claim_occurrence,COMP-005,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-091,01_CANONICAL/compound_hessian_schur_fitting/report/rapport_resultats.md,62,markdown_h2,section,2. Goulot d’étranglement de Schur,canonical_claim_occurrence,COMP-005,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
OCC-092,01_CANONICAL/compound_hessian_schur_fitting/report/rapport_resultats.md,96,markdown_h2,section,3. Les quatre flattenings de Young à deux cases,canonical_claim_occurrence,COMP-005,current,Generated by deterministic scanner; disposition can be reviewed without changing the immutable source.
